assessment cdm type,Type,map category,csv key,Korean_Context,English_Context,semantic_allowed,Format/Range,0,1,2,3,4,5,6,7,8,9,10,11
CoreQ,A,psqi,PSQI_04_SD_HH,"PSQI - (주중/주말 묻지 않는 버전) 지난 한 달 동안, 실제로 잠을 잔 시간은 하루에 평균 얼마나 됩니까? (시간)","During the past month, how many hours of actual sleep did you get at night?' (Hour)",0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_04_SD_MM,"PSQI - (주중/주말 묻지 않는 버전) 지난 한 달 동안, 실제로 잠을 잔 시간은 하루에 평균 얼마나 됩니까? (분)","During the past month, how many hours of actual sleep did you get at night?' (Minute)",0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_05_a,PSQI - 30분 이내로 잠들 수 없었다.,cannot get to sleep within 30 minutes',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_b,PSQI - 한밤중이나 새벽에 깼다.,wake up in the middle of the night or early morning',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_c,PSQI - 화장실에 가려고 일어나야 했다.,have to get up to use the bathroom',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_d,PSQI - 편안하게 숨 쉴 수 없었다.,cannot breathe comfortably',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_e,PSQI - 기침을 하거나 시끄럽게 코를 골았다.,cough or snore loudly',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_f,PSQI - 너무 춥다고 느꼈다.,feel too cold',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_g,PSQI - 너무 덥다고 느꼈다.,feel too hot',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_h,PSQI - 나쁜 꿈을 꾸었다.,had bad dreams',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_i,PSQI - 통증이 있었다.,have pain',0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_j,PSQI - 그 외에 다른 이유가 있다면 이 이유 때문에 얼마나 자주 잠드는데 어려움이 있었습니까?,"Other reason(s), How often during the past month have you had trouble sleeping because of this?'",0,0-3,Never,Rare ( < 1/week),Often (1-2/week),Frequent (≥ 3/week),,,,,,,,
CoreQ,A,psqi,PSQI_05_j_text,PSQI - 그 외에 다른 이유가 있다면 아래에 적어주세요 (서술식),"Other reason(s), please describe'",0,Text 서술식,,,,,,,,,,,,
